trade_date,entry_price,exit_price,side,pnl_points,ret_pct
2025-10-02,26459.0,26431.0,L,-34.0,-0.12850069919498092
2025-10-03,26480.0,26745.0,L,259.0,0.97809667673716
2025-10-07,27202.0,27322.0,L,114.0,0.4190868318505992
2025-10-08,27061.0,27093.0,L,26.0,0.09607922840988876
2025-10-09,27440.0,27335.0,L,-111.0,-0.4045189504373178
2025-10-13,26450.0,26904.0,L,448.0,1.6937618147448013
2025-10-14,27269.0,26718.0,L,-557.0,-2.0426124903736844
2025-10-15,26878.0,27288.0,L,404.0,1.5030880273829899
2025-10-16,27545.0,27822.0,L,271.0,0.983844617897985
2025-10-17,27251.0,27328.0,L,71.0,0.26054089758174015
2025-10-20,27444.0,27783.0,L,333.0,1.2133799737647575
2025-10-21,27900.0,27833.0,L,-73.0,-0.2616487455197133
2025-10-22,27690.0,27704.0,L,8.0,0.0288912964969303
2025-10-23,27385.0,27556.0,L,165.0,0.6025196275333212
2025-10-27,28284.0,28225.0,L,-65.0,-0.22981190779239147
2025-10-28,28233.0,28002.0,L,-237.0,-0.8394432047603867
2025-10-29,28225.0,28412.0,L,181.0,0.6412754650132861
2025-10-30,28430.0,28398.0,L,-38.0,-0.13366162504396764
2025-10-31,28478.0,28431.0,L,-53.0,-0.18610857504038203
2025-11-03,28380.0,28340.0,L,-46.0,-0.1620859760394644
2025-11-04,28410.0,28117.0,L,-299.0,-1.052446321717705
2025-11-05,27710.0,27805.0,L,89.0,0.32118368819920606
2025-11-06,28010.0,28034.0,L,18.0,0.06426276329882184
2025-11-07,27777.0,27730.0,L,-53.0,-0.1908053425495914
2025-11-10,27777.0,28016.0,L,233.0,0.8388234870576377
2025-11-11,28149.0,27780.0,L,-375.0,-1.3321965256314612
2025-11-12,27889.0,28054.0,L,159.0,0.5701172505288824
2025-11-13,28038.0,27980.0,L,-64.0,-0.22826164491047862
2025-11-14,27510.0,27401.0,L,-115.0,-0.41802980734278444
2025-11-17,27570.0,27479.0,L,-97.0,-0.3518317011244106
2025-11-18,27142.0,26805.0,L,-343.0,-1.263724117603714
2025-11-19,26801.0,26595.0,L,-212.0,-0.7910152606246036
2025-11-20,27308.0,27482.0,L,168.0,0.6152043357257947
2025-11-21,26750.0,26486.0,L,-270.0,-1.0093457943925233
2025-11-24,26705.0,26615.0,L,-96.0,-0.35948324283841976
2025-11-25,27055.0,26933.0,L,-128.0,-0.4731103308076141
2025-11-26,27188.0,27329.0,L,135.0,0.49654259232014125
2025-11-27,27518.0,27583.0,L,59.0,0.2144051166509194
2025-11-28,27590.0,27744.0,L,148.0,0.5364262413918086
2025-12-01,27650.0,27404.0,L,-252.0,-0.9113924050632912
2025-12-02,27674.0,27561.0,L,-119.0,-0.43000650430006504
2025-12-03,27808.0,27758.0,L,-56.0,-0.20138089758342925
2025-12-04,27841.0,27799.0,L,-48.0,-0.1724076003017133
2025-12-05,27792.0,28016.0,L,218.0,0.784398388025331
2025-12-08,28054.0,28286.0,L,226.0,0.8055892207884793
2025-12-09,28350.0,28220.0,L,-136.0,-0.47971781305114636
2025-12-10,28279.0,28398.0,L,113.0,0.39958980161957636
2025-12-11,28600.0,28110.0,L,-496.0,-1.7342657342657344
2025-12-12,28266.0,28292.0,L,20.0,0.07075638576381518
2025-12-15,27834.0,27907.0,L,67.0,0.2407127972982683
2025-12-16,27630.0,27624.0,L,-12.0,-0.04343105320304018
2025-12-17,27714.0,27692.0,L,-28.0,-0.10103196940174641
2025-12-18,27500.0,27591.0,L,85.0,0.3090909090909091
2025-12-19,27800.0,27894.0,L,88.0,0.3165467625899281
2025-12-22,28256.0,28341.0,L,79.0,0.27958663646659115
2025-12-23,28392.0,28413.0,L,15.0,0.05283178360101438
2025-12-24,28565.0,28472.0,L,-99.0,-0.3465779800455102
2025-12-26,28595.0,28673.0,L,72.0,0.2517922713761147
2025-12-29,28749.0,28950.0,L,195.0,0.6782844620682458
2025-12-30,28777.0,28881.0,L,98.0,0.34054974458769155
2025-12-31,28842.0,29016.0,L,168.0,0.5824838776783856
2026-01-02,29047.0,29473.0,L,420.0,1.4459324542982064
2026-01-05,29888.0,30313.0,L,419.0,1.4019004282655245
2026-01-06,30271.0,30617.0,L,340.0,1.123187208879786
2026-01-07,30609.0,30516.0,L,-99.0,-0.3234342840341076
2026-01-08,30362.0,30458.0,L,90.0,0.2964231605296094
2026-01-09,30450.0,30456.0,L,0.0,0.0
2026-01-12,30717.0,30701.0,L,-22.0,-0.07162157762802357
2026-01-13,31067.0,30874.0,L,-199.0,-0.6405510670486368
2026-01-14,31000.0,30982.0,L,-24.0,-0.07741935483870968
2026-01-15,30831.0,31050.0,L,213.0,0.6908630923421232
2026-01-16,31382.0,31474.0,L,86.0,0.27404244471353006
2026-01-19,31272.0,31669.0,L,391.0,1.2503197748784856
2026-01-20,31481.0,31672.0,L,185.0,0.5876560465042406
2026-01-21,31437.0,31484.0,L,41.0,0.1304195692973248
2026-01-22,31876.0,31857.0,L,-25.0,-0.07842891203413226
2026-01-23,31995.0,32153.0,L,152.0,0.4750742303484919
2026-01-26,32128.0,32144.0,L,10.0,0.031125498007968128
2026-01-27,32313.0,32509.0,L,190.0,0.5879986383189428
2026-01-28,32758.0,32927.0,L,163.0,0.49758837535869105
2026-01-29,33014.0,32777.0,L,-243.0,-0.7360513721451505
2026-01-30,32456.0,32247.0,L,-215.0,-0.6624352970175006
2026-02-02,31888.0,31610.0,L,-284.0,-0.8906171600602107
2026-02-03,32386.0,32261.0,L,-131.0,-0.40449576977706414
2026-02-04,32110.0,32423.0,L,307.0,0.9560884459669884
2026-02-05,31970.0,31907.0,L,-69.0,-0.2158273381294964
2026-02-06,31458.0,31807.0,L,343.0,1.0903426791277258
2026-02-09,32824.0,32651.0,L,-179.0,-0.5453326834023885
2026-02-10,32906.0,33307.0,L,395.0,1.2003889868109159
2026-02-11,33349.0,33691.0,L,336.0,1.0075264625625957
2026-02-23,34183.0,33961.0,L,-228.0,-0.6669982154872305
2026-02-24,34125.0,34827.0,L,696.0,2.0395604395604394
2026-02-25,35243.0,35490.0,L,241.0,0.6838237380472718
2026-02-26,35522.0,35604.0,L,76.0,0.21395191712178366
2026-03-02,34744.0,35232.0,L,482.0,1.3872898917798757
2026-03-03,35018.0,34325.0,L,-699.0,-1.996116283054429
2026-03-04,33461.0,32834.0,L,-633.0,-1.891754579958758
2026-03-05,33911.0,33639.0,L,-278.0,-0.8197929875261715
2026-03-06,33360.0,33704.0,L,338.0,1.0131894484412471
2026-03-09,31730.0,31786.0,L,50.0,0.15757957768673178
2026-03-10,33242.0,32696.0,L,-552.0,-1.66054990674448
2026-03-11,33341.0,33985.0,L,638.0,1.9135598812273176
2026-03-12,33678.0,33530.0,L,-154.0,-0.45727180948987467
2026-03-13,32664.0,33315.0,L,645.0,1.9746509919177078
2026-03-16,33460.0,33250.0,L,-216.0,-0.6455469216975493
2026-03-17,33616.0,33795.0,L,173.0,0.5146358876725369
2026-03-18,34351.0,34551.0,L,194.0,0.5647579400890804
2026-03-19,33898.0,33553.0,L,-351.0,-1.0354593191338721
2026-03-20,33809.0,33559.0,L,-256.0,-0.757194829779053
2026-03-23,32501.0,32532.0,L,25.0,0.07692071013199595
2026-03-24,33280.0,32771.0,L,-515.0,-1.5474759615384617
2026-03-25,33786.0,33638.0,L,-154.0,-0.45581009885751494
2026-03-26,33855.0,33440.0,L,-421.0,-1.243538620587801
2026-03-27,32793.0,33120.0,L,321.0,0.978867441222212
2026-03-30,32048.0,32468.0,L,414.0,1.2918122815776336
2026-03-31,32000.0,31979.0,L,-27.0,-0.084375
2026-04-01,33049.0,33402.0,L,347.0,1.0499561257526702
2026-04-02,33676.0,32487.0,L,-1195.0,-3.548521202042998
2026-04-07,33192.0,33159.0,L,-39.0,-0.11749819233550253
2026-04-08,34651.0,34996.0,L,339.0,0.9783267438169173
2026-04-09,35032.0,34932.0,L,-106.0,-0.30258049783055496
2026-04-10,35249.0,35567.0,L,312.0,0.8851314930920026
2026-04-13,35280.0,35457.0,L,171.0,0.4846938775510204
2026-04-14,36060.0,36381.0,L,315.0,0.8735440931780365
2026-04-15,36997.0,36977.0,L,-26.0,-0.07027596832175582
2026-04-16,37321.0,37645.0,L,318.0,0.8520672007716836
2026-04-17,37145.0,37083.0,L,-68.0,-0.1830663615560641
2026-04-20,37324.0,37254.0,L,-76.0,-0.20362233415496733
2026-04-21,37707.0,38048.0,L,335.0,0.8884292041265547
2026-04-22,38150.0,38206.0,L,50.0,0.1310615989515072
2026-04-23,38686.0,37875.0,L,-817.0,-2.111875096934291
2026-04-24,38299.0,39224.0,L,919.0,2.3995404579754043
2026-04-27,39999.0,39888.0,L,-117.0,-0.29250731268281704
2026-04-28,39820.0,39749.0,L,-77.0,-0.19337016574585636
2026-04-30,39698.0,39360.0,L,-344.0,-0.8665423950828758
